Ticker,Name,Type,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Money Market","Cash and/or Derivatives","Money Market","1,035,670,000.00","1.47","1,035,670,000.00","1,035,670,000.00","066922477","US0669224778","-","1.00","United States","-","USD","1.00","USD","-"
"GME","GAMESTOP CORP CLASS A","Equity","Consumer Discretionary","Equity","975,402,725.00","1.38","975,402,725.00","3,680,765.00","36467W109","US36467W1099","B0LLFT5","265.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SAIA","SAIA INC","Equity","Industrials","Equity","386,747,591.64","0.55","386,747,591.64","1,758,903.00","78709Y105","US78709Y1055","2982399","219.88","United States","NASDAQ","USD","1.00","USD","-"
"MSTR","MICROSTRATEGY INC CLASS A","Equity","Information Technology","Equity","369,006,505.95","0.52","369,006,505.95","487,749.00","594972408","US5949724083","2974329","756.55","United States","NASDAQ","USD","1.00","USD","-"
"GTLS","CHART INDUSTRIES INC","Equity","Industrials","Equity","362,172,496.84","0.51","362,172,496.84","2,373,812.00","16115Q308","US16115Q3083","B19HNF4","152.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OMCL","OMNICELL INC","Equity","Health Care","Equity","361,120,038.69","0.51","361,120,038.69","2,845,033.00","68213N109","US68213N1090","2789523","126.93","United States","NASDAQ","USD","1.00","USD","-"
"CROX","CROCS INC","Equity","Consumer Discretionary","Equity","352,633,900.03","0.50","352,633,900.03","4,538,987.00","227046109","US2270461096","B0T7Z62","77.69","United States","NASDAQ","USD","1.00","USD","-"
"NEO","NEOGENOMICS INC","Equity","Health Care","Equity","342,933,313.62","0.49","342,933,313.62","7,466,434.00","64049M209","US64049M2098","2598246","45.93","United States","NASDAQ","USD","1.00","USD","-"
"EXPO","EXPONENT INC","Equity","Industrials","Equity","341,816,234.10","0.48","341,816,234.10","3,471,978.00","30214U102","US30214U1025","2330318","98.45","United States","NASDAQ","USD","1.00","USD","-"
"M","MACYS INC","Equity","Consumer Discretionary","Equity","325,787,136.00","0.46","325,787,136.00","19,220,480.00","55616P104","US55616P1049","2345022","16.95","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"POWI","POWER INTEGRATIONS INC","Equity","Information Technology","Equity","325,339,536.06","0.46","325,339,536.06","4,025,483.00","739276103","US7392761034","2133045","80.82","United States","NASDAQ","USD","1.00","USD","-"
